Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio de Janeiro;Campos;7-CRT-49-RJS;7CRT49RJS;BARRACUDA;Petrobras;480000038989755;2018/02;511,8012;0;511,8012;12,8875;0;12,8875;359,65637;381,3947;PETROBRAS 48;UEP;558;2015/07;Barracuda;24,75;< 290ºC;33,9%;290ºC a 380ºC;14,5%;> 380ºC;51,6%;66,71;11,79;10,5;1,69;3,63;,91;1,22;,89;,75;,39;,2;,08;0;0;,77;,47;2,03425;532,12919;41451,5729;09/11/2024
Rio de Janeiro;Campos;7-BR-69DA-RJS;7BR69DARJS;BARRACUDA;Petrobras;480000038979792;2018/02;880,3281;0;880,3281;13,126;0;13,126;366,31219;661,4023;PETROBRAS 43;UEP;558;2015/07;Barracuda;24,75;< 290ºC;33,9%;290ºC a 380ºC;14,5%;> 380ºC;51,6%;66,71;11,79;10,5;1,69;3,63;,91;1,22;,89;,75;,39;,2;,08;0;0;,77;,47;2,03425;532,12919;41451,5729;09/11/2024
Espírito Santo;Campos;7-BFR-7-ESS;7BFR7ESS;BALEIA FRANCA;Petrobras;480000035609749;2018/02;19165,9588;0;19165,9588;706,351;0;706,351;19769,90631;18,1605;PETROBRAS 58;UEP;662;2017/02;Cachalote;23,9;< 290ºC;27,3%;290ºC a 380ºC;15,9%;> 380ºC;56,8%;72,16;9,36;5,49;1,14;2,43;,85;1,24;1,25;,95;,47;,24;,09;0;0;,58;3,75;2,07062;536,44186;38967,0042;09/11/2024
Espírito Santo;Campos;7-BFR-12PA-ESS;7BFR12PAESS;BALEIA FRANCA;Petrobras;480000035609749;2018/02;15117,723;0;15117,723;650,9499;0;650,9499;18219,29693;974,3006;PETROBRAS 58;UEP;641;2017/02;Cachalote;23,9;< 290ºC;27,3%;290ºC a 380ºC;15,9%;> 380ºC;56,8%;72,16;9,36;5,49;1,14;2,43;,85;1,24;1,25;,95;,47;,24;,09;0;0;,58;3,75;2,07062;536,44186;38967,0042;09/11/2024
Espírito Santo;Campos;6-BRSA-631DB-ESS;6BAZ1DBESS;BALEIA AZUL;Petrobras;480000035609749;2018/02;6300,2255;0;6300,2255;224,7729;0;224,7729;6290,64326;5143,5328;FPSO CIDADE DE ANCHIETA;UEP;672;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;75,55;9,21;5,11;,85;1,6;,37;,56;,56;,62;,45;,26;,08;0;0;,82;3,96;2,02812;531,3718;38673,7078;09/11/2024
Espírito Santo;Campos;7-BAZ-3-ESS;7BAZ3ESS;BALEIA AZUL;Petrobras;480000035609749;2018/02;6071,7571;0;6071,7571;201,1335;0;201,1335;5629,05678;1872,1788;FPSO CIDADE DE ANCHIETA;UEP;672;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;75,55;9,21;5,11;,85;1,6;,37;,56;,56;,62;,45;,26;,08;0;0;,82;3,96;2,02812;531,3718;38673,7078;09/11/2024
Espírito Santo;Campos;7-BAZ-4-ESS;7BAZ4ESS;BALEIA AZUL;Petrobras;480000035609749;2018/02;9665,162;0;9665,162;369,4805;0;369,4805;10340,52606;9260,0566;FPSO CIDADE DE ANCHIETA;UEP;672;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;75,55;9,21;5,11;,85;1,6;,37;,56;,56;,62;,45;,26;,08;0;0;,82;3,96;2,02812;531,3718;38673,7078;09/11/2024
Espírito Santo;Campos;7-BAZ-8-ESS;7BAZ8ESS;BALEIA AZUL;Petrobras;480000035609749;2018/02;12784,2509;0;12784,2509;390,1712;0;390,1712;10919,58981;1182,3437;PETROBRAS 58;UEP;648;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;75,55;9,21;5,11;,85;1,6;,37;,56;,56;,62;,45;,26;,08;0;0;,82;3,96;2,02812;531,3718;38673,7078;09/11/2024
Espírito Santo;Campos;7-PRB-1-ESS;7PRB1ESS;PIRAMBU;Petrobras;480000035609749;2018/02;731,0772;0;731,0772;23,3934;0;23,3934;654,68321;471,7977;FPSO CIDADE DE ANCHIETA;UEP;140;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;77,15;9,49;5,12;,93;1,53;,32;,42;,23;,11;,04;,01;,01;0;0;,76;3,88;2,0261;531,17639;38800,0765;09/11/2024
Rio de Janeiro;Campos;6-BRSA-770D-RJS;6MRL199DRJS;MARLIM;Petrobras;480000037239710;2018/02;1685,7797;0;1685,7797;55,0207;0;55,0207;1539,01547;4,1869;PETROBRAS 20;UEP;327;2017/02;Marlim;20,3;< 290ºC;25,46%;290ºC a 380ºC;15,3%;> 380ºC;59,24%;87,02;5,93;3,24;,62;1,27;,3;,38;,28;,25;,14;,08;,06;0;0;,31;,12;2,05313;534,39476;39371,6131;09/11/2024
