Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio de Janeiro;Santos;9-ATP-1-RJS;9ATP1RJS;ATAPU;Petrobras;48610012913201005;2017/05;0;0;0;0;0;0;0;0;;;0;2015/07;Entorno de Iara;27,7;< 270ºC;30,3%;270ºC a 458ºC;26,6%;> 458ºC;43,1%;52,075;8,12;5,067;,817;1,731;,448;,597;,384;,237;,109;,02;0;0;0;,451;29,945;2,03283;531,96752;27671,2836;09/11/2024
Rio de Janeiro;Santos;9-ATP-3-RJS;9ATP3RJS;ATAPU;Petrobras;48610012913201005;2017/05;0;0;0;0;0;0;0;0;;;0;2015/07;Entorno de Iara;27,7;< 270ºC;30,3%;270ºC a 458ºC;26,6%;> 458ºC;43,1%;52,075;8,12;5,067;,817;1,731;,448;,597;,384;,237;,109;,02;0;0;0;,451;29,945;2,03283;531,96752;27671,2836;09/11/2024
Espírito Santo;Campos;6-BRSA-631DB-ESS;6BAZ1DBESS;BALEIA AZUL;Petrobras;480000035609749;2017/05;7382,4176;0;7382,4176;247,8356;0;247,8356;7680,13907;5020,4614;FPSO CIDADE DE ANCHIETA;UEP;743;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;72,41;9,03;5,82;1,16;2,37;,75;1,05;,89;,62;,81;,75;0;0;0;,65;3,69;2,06064;535,25014;38858,9056;09/11/2024
Espírito Santo;Campos;7-BAZ-3-ESS;7BAZ3ESS;BALEIA AZUL;Petrobras;480000035609749;2017/05;7762,7656;0;7762,7656;271,2186;0;271,2186;8404,75149;1257,6522;FPSO CIDADE DE ANCHIETA;UEP;742;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;72,41;9,03;5,82;1,16;2,37;,75;1,05;,89;,62;,81;,75;0;0;0;,65;3,69;2,06064;535,25014;38858,9056;09/11/2024
Espírito Santo;Campos;7-BAZ-4-ESS;7BAZ4ESS;BALEIA AZUL;Petrobras;480000035609749;2017/05;6543,7412;0;6543,7412;223,51;0;223,51;6926,3181;5997,835;FPSO CIDADE DE ANCHIETA;UEP;742;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;72,41;9,03;5,82;1,16;2,37;,75;1,05;,89;,62;,81;,75;0;0;0;,65;3,69;2,06064;535,25014;38858,9056;09/11/2024
Espírito Santo;Campos;7-BAZ-6-ESS;7BAZ6ESS;BALEIA AZUL;Petrobras;480000035609749;2017/05;8075,1681;0;8075,1681;306,5509;0;306,5509;9499,66156;8339,0406;FPSO CIDADE DE ANCHIETA;UEP;741;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;72,41;9,03;5,82;1,16;2,37;,75;1,05;,89;,62;,81;,75;0;0;0;,65;3,69;2,06064;535,25014;38858,9056;09/11/2024
Espírito Santo;Campos;7-BAZ-8-ESS;7BAZ8ESS;BALEIA AZUL;Petrobras;480000035609749;2017/05;9717,988;0;9717,988;318,3345;0;318,3345;9864,82124;775,2643;PETROBRAS 58;UEP;643;2017/02;Baleia Azul;29,72;< 270ºC;34,3%;270ºC a 458ºC;30,21%;> 458ºC;35,49%;72,41;9,03;5,82;1,16;2,37;,75;1,05;,89;,62;,81;,75;0;0;0;,65;3,69;2,06064;535,25014;38858,9056;09/11/2024
Rio de Janeiro;Santos;3-BRSA-1132-RJS;3RJS706;BERBIGÃO;Petrobras;486100038862000;2017/05;0;0;0;0;0;0;0;0;;;0;2015/07;Iara;27,8;< 270ºC;30,05%;270ºC a 458ºC;28,65%;> 458ºC;41,3%;;;;;;;;;;;;;;;;;;;;09/11/2024
Rio de Janeiro;Santos;9-BBG-1D-RJS;9BBG1DRJS;BERBIGÃO;Petrobras;486100038862000;2017/05;0;0;0;0;0;0;0;0;;;0;2015/07;Iara;27,8;< 270ºC;30,05%;270ºC a 458ºC;28,65%;> 458ºC;41,3%;;;;;;;;;;;;;;;;;;;;09/11/2024
Rio de Janeiro;Santos;2-ANP-1-RJS;2ANP1RJS;BÚZIOS;Petrobras;48610012913201005;2017/05;0;0;0;0;0;0;0;0;;;0;2015/07;Búzios;28,4;< 270ºC;31,07%;270ºC a 458ºC;30,08%;> 458ºC;38,85%;58,34503;8,47311;4,40195;,606;1,1226;,20865;,25746;,13152;,07076;,03579;,01914;0;0;0;,39985;25,92814;2,00081;528,14465;29689,1721;09/11/2024
